Effect,Estimate,StdErr,DF,tValue,Probt
Intercept,2.04E-15,0.003995,316,0.00,1.0000
LogRegPrice,-1.3186,0.1135,16E3,-11.61,<.0001
LogPriceIndex,-1.2490,0.07779,16E3,-16.06,<.0001
DisplayOnly,0.2037,0.03186,16E3,6.40,<.0001
FeatureDisplay,0.4093,0.07976,16E3,5.13,<.0001
FeatureOnly,0.3141,0.04259,16E3,7.37,<.0001
LogSeason,0.5850,0.07118,16E3,8.22,<.0001
AbsPrice19,-0.00608,0.03352,16E3,-0.18,0.8560
Lift19,0.04031,0.06760,16E3,0.60,0.5510
AbsPrice220,-1.2214,0.6672,16E3,-1.83,0.0672
Lift220,-0.1021,0.02058,16E3,-4.96,<.0001
AbsPrice178,0.7600,0.2014,16E3,3.77,0.0002
Lift178,0.1431,0.05451,16E3,2.63,0.0086
AbsPrice132,0.4144,0.3703,16E3,1.12,0.2631
Lift132,0.02048,0.07281,16E3,0.28,0.7785
AbsPrice131,0.8563,0.3786,16E3,2.26,0.0237
Lift131,-0.03820,0.06814,16E3,-0.56,0.5751
AbsPrice191,0.4121,0.1873,16E3,2.20,0.0278
Lift191,-0.1448,0.05130,16E3,-2.82,0.0048
AbsPrice31,0.1078,0.1204,16E3,0.90,0.3706
Lift31,-0.09875,0.2536,16E3,-0.39,0.6970
AbsPrice95,-0.3147,0.2063,16E3,-1.53,0.1272
Lift95,0.07806,0.06476,16E3,1.21,0.2281
AbsPrice140,0.4941,0.2298,16E3,2.15,0.0315
Lift140,0.003889,0.04421,16E3,0.09,0.9299
AbsPrice139,0.09093,0.1804,16E3,0.50,0.6142
Lift139,-0.08647,0.04070,16E3,-2.12,0.0337
AbsPrice233,-0.1070,0.1725,16E3,-0.62,0.5351
Lift233,-0.01226,0.02527,16E3,-0.48,0.6277
AbsPrice289,-0.09093,0.1001,16E3,-0.91,0.3638
Lift289,0.000619,0.01735,16E3,0.04,0.9715
AbsPrice275,0.1515,0.09129,16E3,1.66,0.0970
Lift275,-0.02466,0.01343,16E3,-1.84,0.0664
AbsPrice236,0.2173,0.1228,16E3,1.77,0.0769
Lift236,-0.00435,0.01476,16E3,-0.29,0.7681
AbsPrice230,0.3236,0.1261,16E3,2.57,0.0103
Lift230,-0.05110,0.02131,16E3,-2.40,0.0165
AbsPrice235,0.3348,0.1033,16E3,3.24,0.0012
Lift235,0.01906,0.01854,16E3,1.03,0.3038
AbsPrice246,-0.1128,0.09309,16E3,-1.21,0.2257
Lift246,-0.02760,0.02039,16E3,-1.35,0.1759
AbsPrice265,-0.07121,0.06292,16E3,-1.13,0.2578
Lift265,-0.04027,0.02539,16E3,-1.59,0.1128
AbsPrice290,0.8321,0.1407,16E3,5.92,<.0001
Lift290,-0.01738,0.05339,16E3,-0.33,0.7447
AbsPrice7,0.2650,0.1357,16E3,1.95,0.0508
Lift7,-0.1657,0.01176,16E3,-14.09,<.0001
AbsPrice239,0.008172,0.05225,16E3,0.16,0.8757
Lift239,0.01206,0.02303,16E3,0.52,0.6006
AbsPrice305,-0.02561,0.09250,16E3,-0.28,0.7818
Lift305,-0.00615,0.01568,16E3,-0.39,0.6950
AbsPrice322,-0.08263,0.2719,16E3,-0.30,0.7612
Lift322,-0.01177,0.02271,16E3,-0.52,0.6042
AbsPrice302,0.6863,0.1409,16E3,4.87,<.0001
Lift302,0.1279,0.05237,16E3,2.44,0.0146
AbsPrice299,0.2889,0.1644,16E3,1.76,0.0788
Lift299,0.04646,0.03406,16E3,1.36,0.1726
AbsPrice229,-0.07134,0.09234,16E3,-0.77,0.4398
Lift229,-0.05041,0.05857,16E3,-0.86,0.3894
AbsPrice309,0.3329,0.1722,16E3,1.93,0.0532
Lift309,-0.04913,0.02167,16E3,-2.27,0.0234
AbsPrice231,-0.1127,0.07785,16E3,-1.45,0.1476
Lift231,-0.02022,0.02039,16E3,-0.99,0.3214
AbsPrice298,0.08939,0.09562,16E3,0.93,0.3499
Lift298,-0.01834,0.01854,16E3,-0.99,0.3226
AbsPrice311,-0.5359,0.3283,16E3,-1.63,0.1026
Lift311,0.02539,0.02898,16E3,0.88,0.3811
