Effect,Estimate,StdErr,DF,tValue,Probt
Intercept,1.24E-15,0.007746,72,0.00,1.0000
LogRegPrice,-1.3896,0.3280,4766,-4.24,<.0001
LogPriceIndex,-2.1973,0.1821,4766,-12.07,<.0001
DisplayOnly,0.4042,0.1345,4766,3.01,0.0027
LogSeason,0.8003,0.1547,4766,5.17,<.0001
AbsPrice88,0.3130,0.2007,4766,1.56,0.1190
Lift88,0.04343,0.05231,4766,0.83,0.4064
AbsPrice48,0.5386,0.2472,4766,2.18,0.0294
Lift48,-0.03515,0.04985,4766,-0.71,0.4808
AbsPrice95,-0.09208,0.2226,4766,-0.41,0.6792
Lift95,0.008965,0.03920,4766,0.23,0.8191
AbsPrice194,0.5017,0.5704,4766,0.88,0.3792
Lift194,-0.07688,0.02720,4766,-2.83,0.0047
AbsPrice227,-0.1190,0.6530,4766,-0.18,0.8554
Lift227,-0.1071,0.03194,4766,-3.35,0.0008
AbsPrice89,0.5552,0.2941,4766,1.89,0.0591
Lift89,0.01853,0.04692,4766,0.39,0.6929
AbsPrice49,-0.3246,0.3243,4766,-1.00,0.3170
Lift49,0.01635,0.03884,4766,0.42,0.6738
AbsPrice225,0.3073,0.6776,4766,0.45,0.6502
Lift225,-0.07865,0.03093,4766,-2.54,0.0110
AbsPrice33,-1.0929,0.3304,4766,-3.31,0.0009
Lift33,-0.04774,0.03343,4766,-1.43,0.1533
AbsPrice65,0.4866,0.2256,4766,2.16,0.0311
Lift65,-0.06421,0.04078,4766,-1.57,0.1154
AbsPrice235,0.1845,0.08679,4766,2.13,0.0336
Lift235,0.01547,0.03808,4766,0.41,0.6846
AbsPrice272,0.2787,0.2802,4766,0.99,0.3198
Lift272,0.01260,0.04797,4766,0.26,0.7929
AbsPrice276,-0.3127,0.3638,4766,-0.86,0.3900
Lift276,0.06771,0.1551,4766,0.44,0.6625
AbsPrice288,-0.1802,0.3141,4766,-0.57,0.5662
Lift288,-0.03644,0.09254,4766,-0.39,0.6938
AbsPrice278,0.2845,0.1636,4766,1.74,0.0821
Lift278,-0.06464,0.03874,4766,-1.67,0.0953
AbsPrice265,0.03293,0.08998,4766,0.37,0.7144
Lift265,-0.1078,0.08878,4766,-1.21,0.2247
AbsPrice274,-0.08292,0.3009,4766,-0.28,0.7829
Lift274,-0.1505,0.07297,4766,-2.06,0.0392
AbsPrice228,0.1260,0.1752,4766,0.72,0.4721
Lift228,-0.01613,0.05936,4766,-0.27,0.7859
AbsPrice322,0.6147,0.4351,4766,1.41,0.1578
Lift322,-0.04447,0.03830,4766,-1.16,0.2456
AbsPrice13,0.004079,0.1024,4766,0.04,0.9682
Lift13,0.05954,0.03651,4766,1.63,0.1030
AbsPrice327,0.6858,0.4415,4766,1.55,0.1204
Lift327,-0.01260,0.03366,4766,-0.37,0.7081
AbsPrice236,-0.1636,0.1240,4766,-1.32,0.1871
Lift236,0.1019,0.03179,4766,3.21,0.0014
AbsPrice305,-0.3427,0.3350,4766,-1.02,0.3064
Lift305,-0.06201,0.03208,4766,-1.93,0.0533
AbsPrice299,0.09190,0.1625,4766,0.57,0.5716
Lift299,-0.00905,0.01824,4766,-0.50,0.6200
AbsPrice275,0.7046,0.5262,4766,1.34,0.1807
Lift275,-0.01486,0.02486,4766,-0.60,0.5501
AbsPrice248,0.1858,0.5647,4766,0.33,0.7422
Lift248,0.01344,0.03980,4766,0.34,0.7356
AbsPrice324,0.001774,0.1176,4766,0.02,0.9880
Lift324,0.02536,0.03923,4766,0.65,0.5179
AbsPrice289,-1.0077,0.6366,4766,-1.58,0.1135
Lift289,-0.02196,0.03110,4766,-0.71,0.4802
AbsPrice309,-0.00094,0.1407,4766,-0.01,0.9946
Lift309,0.04017,0.04162,4766,0.97,0.3345
Lift266,-0.06167,0.04516,4766,-1.37,0.1722
