Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
DisplayOnly,43860,147,-0.1827,0.2422,4838,-0.75,0.4508
LogSeason,43860,147,0.009132,0.1124,4838,0.08,0.9352
LogRegPrice,43863,147,0,,,,
LogPriceIndex,43863,147,0.1748,0.7056,4838,0.25,0.8044
DisplayOnly,43863,147,0,0.2677,4838,0.00,1.0000
LogSeason,43863,147,-0.00498,0.1120,4838,-0.04,0.9646
LogRegPrice,43875,147,0,,,,
LogPriceIndex,43875,147,1.4192,0.8540,4838,1.66,0.0966
DisplayOnly,43875,147,0,0.2677,4838,0.00,1.0000
LogSeason,43875,147,-0.00876,0.1123,4838,-0.08,0.9378
LogRegPrice,43880,147,0,,,,
LogPriceIndex,43880,147,-0.2149,0.8415,4838,-0.26,0.7985
DisplayOnly,43880,147,0,0.2677,4838,0.00,1.0000
LogSeason,43880,147,0.01240,0.1122,4838,0.11,0.9120
LogRegPrice,43884,147,0,,,,
LogPriceIndex,43884,147,-1.2738,0.7983,4838,-1.60,0.1106
DisplayOnly,43884,147,0,0.2677,4838,0.00,1.0000
LogSeason,43884,147,-0.00461,0.1121,4838,-0.04,0.9672
LogRegPrice,59401,147,0,,,,
LogPriceIndex,59401,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,59401,147,0,0.2677,4838,0.00,1.0000
LogSeason,59401,147,0,0.1128,4838,0.00,1.0000
LogRegPrice,59415,147,0,,,,
LogPriceIndex,59415,147,0.1093,0.5869,4838,0.19,0.8523
DisplayOnly,59415,147,0,0.2677,4838,0.00,1.0000
LogSeason,59415,147,-0.00298,0.1127,4838,-0.03,0.9789
LogRegPrice,59416,147,0,,,,
LogPriceIndex,59416,147,0.5602,0.5864,4838,0.96,0.3395
DisplayOnly,59416,147,0,0.2677,4838,0.00,1.0000
LogSeason,59416,147,0.01047,0.1125,4838,0.09,0.9258
LogRegPrice,59420,147,0,,,,
LogPriceIndex,59420,147,0.3256,0.5902,4838,0.55,0.5812
DisplayOnly,59420,147,0,0.2677,4838,0.00,1.0000
LogSeason,59420,147,0.003276,0.1127,4838,0.03,0.9768
LogRegPrice,59480,147,0,,,,
LogPriceIndex,59480,147,-0.6911,0.7174,4838,-0.96,0.3354
DisplayOnly,59480,147,-0.04550,0.2041,4838,-0.22,0.8236
LogSeason,59480,147,0.005659,0.1123,4838,0.05,0.9598
LogRegPrice,59502,147,0,,,,
LogPriceIndex,59502,147,0.2304,0.5866,4838,0.39,0.6944
DisplayOnly,59502,147,0,0.2677,4838,0.00,1.0000
LogSeason,59502,147,0.01177,0.1123,4838,0.10,0.9166
LogRegPrice,59503,147,0,,,,
LogPriceIndex,59503,147,0.3651,0.5834,4838,0.63,0.5315
DisplayOnly,59503,147,0,0.2677,4838,0.00,1.0000
LogSeason,59503,147,0.007333,0.1122,4838,0.07,0.9479
LogRegPrice,59513,147,0,,,,
LogPriceIndex,59513,147,1.7968,0.6046,4838,2.97,0.0030
DisplayOnly,59513,147,0,0.2677,4838,0.00,1.0000
LogSeason,59513,147,0.002887,0.1128,4838,0.03,0.9796
LogRegPrice,59546,147,0,,,,
LogPriceIndex,59546,147,-0.1954,0.5869,4838,-0.33,0.7392
DisplayOnly,59546,147,0,0.2677,4838,0.00,1.0000
LogSeason,59546,147,-0.00189,0.1127,4838,-0.02,0.9866
LogRegPrice,59555,147,0,,,,
LogPriceIndex,59555,147,0.9017,0.5967,4838,1.51,0.1308
DisplayOnly,59555,147,0.1563,0.2420,4838,0.65,0.5186
LogSeason,59555,147,-0.00673,0.1123,4838,-0.06,0.9522
LogRegPrice,59557,147,0,,,,
LogPriceIndex,59557,147,0.4901,0.5866,4838,0.84,0.4035
DisplayOnly,59557,147,0,0.2677,4838,0.00,1.0000
LogSeason,59557,147,0.000444,0.1126,4838,0.00,0.9969
LogRegPrice,59563,147,0,,,,
LogPriceIndex,59563,147,-0.8054,0.5911,4838,-1.36,0.1731
DisplayOnly,59563,147,0,0.2677,4838,0.00,1.0000
LogSeason,59563,147,-0.00113,0.1127,4838,-0.01,0.9920
LogRegPrice,63916,147,0,,,,
LogPriceIndex,63916,147,0.2691,0.7202,4838,0.37,0.7087
DisplayOnly,63916,147,0,0.2677,4838,0.00,1.0000
LogSeason,63916,147,-0.00182,0.1124,4838,-0.02,0.9871
LogRegPrice,64816,147,0,,,,
LogPriceIndex,64816,147,-0.7038,0.6965,4838,-1.01,0.3123
DisplayOnly,64816,147,0.1308,0.2488,4838,0.53,0.5990
LogSeason,64816,147,-0.01109,0.1123,4838,-0.10,0.9213
LogRegPrice,64840,147,0,,,,
LogPriceIndex,64840,147,-0.7327,0.5832,4838,-1.26,0.2091
DisplayOnly,64840,147,0,0.2677,4838,0.00,1.0000
LogSeason,64840,147,-0.03263,0.1119,4838,-0.29,0.7705
LogRegPrice,64858,147,0,,,,
LogPriceIndex,64858,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,64858,147,0,0.2677,4838,0.00,1.0000
LogSeason,64858,147,-0.00576,0.1128,4838,-0.05,0.9593
LogRegPrice,64878,147,0,,,,
LogPriceIndex,64878,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,64878,147,0,0.2677,4838,0.00,1.0000
LogSeason,64878,147,-0.00151,0.1128,4838,-0.01,0.9893
LogRegPrice,64880,147,0,,,,
LogPriceIndex,64880,147,1.1786,0.7733,4838,1.52,0.1275
DisplayOnly,64880,147,0,0.2677,4838,0.00,1.0000
LogSeason,64880,147,0.001870,0.1128,4838,0.02,0.9868
LogRegPrice,64887,147,0,,,,
LogPriceIndex,64887,147,1.2426,0.5201,4838,2.39,0.0169
DisplayOnly,64887,147,0,0.2677,4838,0.00,1.0000
LogSeason,64887,147,0.01672,0.1120,4838,0.15,0.8813
LogRegPrice,64896,147,0,,,,
LogPriceIndex,64896,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,64896,147,0,0.2677,4838,0.00,1.0000
LogSeason,64896,147,-0.00178,0.1127,4838,-0.02,0.9874
LogRegPrice,73506,147,0,,,,
LogPriceIndex,73506,147,0.5919,0.5221,4838,1.13,0.2569
DisplayOnly,73506,147,0,0.2677,4838,0.00,1.0000
LogSeason,73506,147,-0.01080,0.1125,4838,-0.10,0.9235
LogRegPrice,73519,147,0,,,,
LogPriceIndex,73519,147,-0.2405,0.5842,4838,-0.41,0.6806
DisplayOnly,73519,147,0.000398,0.2421,4838,0.00,0.9987
LogSeason,73519,147,-0.00959,0.1122,4838,-0.09,0.9319
LogRegPrice,73531,147,0,,,,
LogPriceIndex,73531,147,-0.2454,0.6678,4838,-0.37,0.7133
DisplayOnly,73531,147,0,0.2677,4838,0.00,1.0000
LogSeason,73531,147,0.003967,0.1121,4838,0.04,0.9718
LogRegPrice,73533,147,0,,,,
LogPriceIndex,73533,147,-0.06465,0.6317,4838,-0.10,0.9185
DisplayOnly,73533,147,0,0.2677,4838,0.00,1.0000
LogSeason,73533,147,-0.00251,0.1124,4838,-0.02,0.9822
LogRegPrice,73568,147,0,,,,
LogPriceIndex,73568,147,0.2150,0.5221,4838,0.41,0.6805
DisplayOnly,73568,147,0,0.2677,4838,0.00,1.0000
LogSeason,73568,147,-0.00394,0.1125,4838,-0.04,0.9720
LogRegPrice,73587,147,0,,,,
LogPriceIndex,73587,147,0.05388,0.7211,4838,0.07,0.9404
DisplayOnly,73587,147,0,0.2677,4838,0.00,1.0000
LogSeason,73587,147,0.004808,0.1127,4838,0.04,0.9660
LogRegPrice,83608,147,0,,,,
LogPriceIndex,83608,147,-0.06224,0.6154,4838,-0.10,0.9194
DisplayOnly,83608,147,0,0.2677,4838,0.00,1.0000
LogSeason,83608,147,0.004562,0.1126,4838,0.04,0.9677
LogRegPrice,83615,147,0,,,,
LogPriceIndex,83615,147,0.2583,0.5153,4838,0.50,0.6162
DisplayOnly,83615,147,0,0.2677,4838,0.00,1.0000
LogSeason,83615,147,0.000317,0.1120,4838,0.00,0.9977
LogRegPrice,83617,147,0,,,,
LogPriceIndex,83617,147,-0.6841,0.8068,4838,-0.85,0.3965
DisplayOnly,83617,147,0,0.2677,4838,0.00,1.0000
LogSeason,83617,147,0.01455,0.1123,4838,0.13,0.8970
LogRegPrice,83619,147,0,,,,
LogPriceIndex,83619,147,0,1.0847,4838,0.00,1.0000
DisplayOnly,83619,147,0,0.2677,4838,0.00,1.0000
LogSeason,83619,147,-0.00938,0.1124,4838,-0.08,0.9335
LogRegPrice,83632,147,0,,,,
