Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
FeatureOnly,70111,256,0.2992,0.2632,351,1.14,0.2565
LogSeason,70111,256,-8.4729,4.6184,351,-1.83,0.0674
LogRegPrice,70113,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70113,256,0,,,,
FeatureDisplay,70113,256,0,,,,
FeatureOnly,70113,256,0.005876,0.3257,351,0.02,0.9856
LogSeason,70113,256,1.0981,4.5170,351,0.24,0.8081
LogRegPrice,70115,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70115,256,0,,,,
FeatureDisplay,70115,256,0,,,,
FeatureOnly,70115,256,-0.1308,0.2673,351,-0.49,0.6248
LogSeason,70115,256,4.0424,5.2200,351,0.77,0.4392
LogRegPrice,70116,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70116,256,0,,,,
FeatureDisplay,70116,256,0,,,,
FeatureOnly,70116,256,0.09961,0.2740,351,0.36,0.7165
LogSeason,70116,256,-4.3127,4.2120,351,-1.02,0.3066
LogRegPrice,70121,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70121,256,0,,,,
FeatureDisplay,70121,256,0,,,,
FeatureOnly,70121,256,0.1095,0.2810,351,0.39,0.6971
LogSeason,70121,256,-1.2515,4.1907,351,-0.30,0.7654
LogRegPrice,70129,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70129,256,0,,,,
FeatureDisplay,70129,256,0,,,,
FeatureOnly,70129,256,0.03896,0.2908,351,0.13,0.8935
LogSeason,70129,256,-6.3623,5.2131,351,-1.22,0.2231
LogRegPrice,70150,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70150,256,0,,,,
FeatureDisplay,70150,256,0,,,,
FeatureOnly,70150,256,0.6444,0.2691,351,2.39,0.0172
LogSeason,70150,256,-3.8507,4.3880,351,-0.88,0.3808
LogRegPrice,70180,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70180,256,0,,,,
FeatureDisplay,70180,256,0,,,,
FeatureOnly,70180,256,-0.1567,0.3089,351,-0.51,0.6123
LogSeason,70180,256,-2.0317,4.3591,351,-0.47,0.6414
LogRegPrice,70603,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70603,256,0,,,,
FeatureDisplay,70603,256,0,,,,
FeatureOnly,70603,256,0,0.4132,351,0.00,1.0000
LogSeason,70603,256,0,6.1722,351,0.00,1.0000
LogRegPrice,70651,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70651,256,0,,,,
FeatureDisplay,70651,256,0,,,,
FeatureOnly,70651,256,0,0.4132,351,0.00,1.0000
LogSeason,70651,256,-0.9765,6.0553,351,-0.16,0.8720
LogRegPrice,70680,256,-0.4519,10.2688,351,-0.04,0.9649
LogPriceIndex,70680,256,0,,,,
FeatureDisplay,70680,256,0,,,,
FeatureOnly,70680,256,0,0.4132,351,0.00,1.0000
LogSeason,70680,256,1.3577,5.6540,351,0.24,0.8104
LogRegPrice,81478,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,81478,256,0,,,,
FeatureDisplay,81478,256,0,,,,
FeatureOnly,81478,256,0,0.4132,351,0.00,1.0000
LogSeason,81478,256,1.5943,5.9204,351,0.27,0.7879
LogRegPrice,81482,256,-1.7845,6.1967,351,-0.29,0.7735
LogPriceIndex,81482,256,0,,,,
FeatureDisplay,81482,256,0,,,,
FeatureOnly,81482,256,0,0.4132,351,0.00,1.0000
LogSeason,81482,256,-2.1588,5.6007,351,-0.39,0.7001
LogRegPrice,81802,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,81802,256,0,,,,
FeatureDisplay,81802,256,0,,,,
FeatureOnly,81802,256,-0.5940,0.2844,351,-2.09,0.0375
LogSeason,81802,256,2.1537,4.5298,351,0.48,0.6348
LogRegPrice,81804,256,1.7805,6.5627,351,0.27,0.7863
LogPriceIndex,81804,256,0,,,,
FeatureDisplay,81804,256,0,,,,
FeatureOnly,81804,256,0.07306,0.3334,351,0.22,0.8267
LogSeason,81804,256,3.3610,5.6148,351,0.60,0.5498
LogRegPrice,81850,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,81850,256,0,,,,
FeatureDisplay,81850,256,0,,,,
FeatureOnly,81850,256,0.1882,0.2665,351,0.71,0.4805
LogSeason,81850,256,-3.1177,4.0245,351,-0.77,0.4390
LogRegPrice,81851,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,81851,256,0,,,,
FeatureDisplay,81851,256,0,,,,
FeatureOnly,81851,256,0.1105,0.2814,351,0.39,0.6948
LogSeason,81851,256,3.6901,5.6654,351,0.65,0.5153
LogRegPrice,81887,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,81887,256,0,,,,
FeatureDisplay,81887,256,0,,,,
FeatureOnly,81887,256,-0.05621,0.2913,351,-0.19,0.8471
LogSeason,81887,256,-2.1954,4.7994,351,-0.46,0.6476
LogRegPrice,81894,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,81894,256,0,,,,
FeatureDisplay,81894,256,0,,,,
FeatureOnly,81894,256,-0.1139,0.2639,351,-0.43,0.6662
LogSeason,81894,256,2.4982,4.0704,351,0.61,0.5398
LogRegPrice,82211,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82211,256,0,,,,
FeatureDisplay,82211,256,0,,,,
FeatureOnly,82211,256,-0.01523,0.2916,351,-0.05,0.9584
LogSeason,82211,256,4.5360,5.1619,351,0.88,0.3801
LogRegPrice,82214,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82214,256,0,,,,
FeatureDisplay,82214,256,0,,,,
FeatureOnly,82214,256,0.1166,0.2834,351,0.41,0.6809
LogSeason,82214,256,-0.9182,5.0730,351,-0.18,0.8565
LogRegPrice,82223,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82223,256,0,,,,
FeatureDisplay,82223,256,0,,,,
FeatureOnly,82223,256,0.1672,0.2672,351,0.63,0.5320
LogSeason,82223,256,0.5885,3.7923,351,0.16,0.8768
LogRegPrice,82239,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82239,256,0,,,,
FeatureDisplay,82239,256,0,,,,
FeatureOnly,82239,256,0.02392,0.2896,351,0.08,0.9342
LogSeason,82239,256,-1.6643,4.1624,351,-0.40,0.6895
LogRegPrice,82245,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82245,256,0,,,,
FeatureDisplay,82245,256,0,,,,
FeatureOnly,82245,256,-0.05481,0.2690,351,-0.20,0.8387
LogSeason,82245,256,11.8642,3.9827,351,2.98,0.0031
LogRegPrice,82246,256,9.2634,6.6085,351,1.40,0.1619
LogPriceIndex,82246,256,0,,,,
FeatureDisplay,82246,256,0,,,,
FeatureOnly,82246,256,-0.5341,0.3027,351,-1.76,0.0785
LogSeason,82246,256,0.8468,5.2406,351,0.16,0.8717
LogRegPrice,82247,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82247,256,0,,,,
FeatureDisplay,82247,256,0,,,,
FeatureOnly,82247,256,0.1710,0.2925,351,0.58,0.5593
LogSeason,82247,256,-1.7752,4.9738,351,-0.36,0.7214
LogRegPrice,82251,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82251,256,0,,,,
FeatureDisplay,82251,256,0,,,,
FeatureOnly,82251,256,0.03423,0.3360,351,0.10,0.9189
LogSeason,82251,256,2.0818,5.9386,351,0.35,0.7261
LogRegPrice,82260,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,82260,256,0,,,,
FeatureDisplay,82260,256,0,,,,
FeatureOnly,82260,256,0.1991,0.3282,351,0.61,0.5446
LogSeason,82260,256,1.2638,4.7825,351,0.26,0.7917
LogRegPrice,84660,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,84660,256,0,,,,
FeatureDisplay,84660,256,0,,,,
FeatureOnly,84660,256,0,0.4132,351,0.00,1.0000
LogSeason,84660,256,3.2079,5.5983,351,0.57,0.5670
LogRegPrice,89806,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,89806,256,0,,,,
FeatureDisplay,89806,256,0,,,,
FeatureOnly,89806,256,0,0.4132,351,0.00,1.0000
LogSeason,89806,256,0.1054,6.1382,351,0.02,0.9863
LogRegPrice,89807,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,89807,256,0,,,,
FeatureDisplay,89807,256,0,,,,
FeatureOnly,89807,256,0,0.4132,351,0.00,1.0000
LogSeason,89807,256,0.01770,5.6538,351,0.00,0.9975
LogRegPrice,89824,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,89824,256,0,,,,
FeatureDisplay,89824,256,0,,,,
FeatureOnly,89824,256,0,0.4132,351,0.00,1.0000
LogSeason,89824,256,0,6.1722,351,0.00,1.0000
LogRegPrice,89837,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,89837,256,0,,,,
FeatureDisplay,89837,256,0,,,,
FeatureOnly,89837,256,0,0.4132,351,0.00,1.0000
LogSeason,89837,256,0.7346,5.9034,351,0.12,0.9010
LogRegPrice,89846,256,2.7129,10.0901,351,0.27,0.7882
LogPriceIndex,89846,256,0,,,,
FeatureDisplay,89846,256,0,,,,
FeatureOnly,89846,256,0,0.4132,351,0.00,1.0000
LogSeason,89846,256,-0.5627,6.1607,351,-0.09,0.9273
LogRegPrice,89854,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,89854,256,0,,,,
FeatureDisplay,89854,256,0,,,,
FeatureOnly,89854,256,0,0.4132,351,0.00,1.0000
LogSeason,89854,256,-0.04891,6.1715,351,-0.01,0.9937
LogRegPrice,114508,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,114508,256,0,,,,
FeatureDisplay,114508,256,0,,,,
FeatureOnly,114508,256,0,0.4132,351,0.00,1.0000
LogSeason,114508,256,0,6.1722,351,0.00,1.0000
LogRegPrice,114529,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,114529,256,0,,,,
FeatureDisplay,114529,256,0,,,,
FeatureOnly,114529,256,0,0.4132,351,0.00,1.0000
LogSeason,114529,256,0,6.1722,351,0.00,1.0000
LogRegPrice,114534,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,114534,256,0,,,,
FeatureDisplay,114534,256,0,,,,
FeatureOnly,114534,256,0,0.4132,351,0.00,1.0000
LogSeason,114534,256,1.2575,3.1647,351,0.40,0.6913
LogRegPrice,114579,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,114579,256,0,,,,
FeatureDisplay,114579,256,0,,,,
FeatureOnly,114579,256,0,0.4132,351,0.00,1.0000
LogSeason,114579,256,0.4932,5.5223,351,0.09,0.9289
LogRegPrice,185011,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,185011,256,0,,,,
FeatureDisplay,185011,256,0,,,,
FeatureOnly,185011,256,0,0.4132,351,0.00,1.0000
LogSeason,185011,256,-1.0150,5.5290,351,-0.18,0.8545
