Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
LogRegPrice,70004,256,-11.5205,9.6833,351,-1.19,0.2350
LogPriceIndex,70004,256,0,,,,
FeatureDisplay,70004,256,0,,,,
FeatureOnly,70004,256,-0.4295,0.2853,351,-1.51,0.1331
LogSeason,70004,256,7.7684,5.2599,351,1.48,0.1406
LogRegPrice,70013,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70013,256,0,,,,
FeatureDisplay,70013,256,0,,,,
FeatureOnly,70013,256,0.09568,0.2774,351,0.34,0.7303
LogSeason,70013,256,-1.3903,4.4826,351,-0.31,0.7566
LogRegPrice,70018,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70018,256,0,,,,
FeatureDisplay,70018,256,0,,,,
FeatureOnly,70018,256,0.1321,0.2655,351,0.50,0.6191
LogSeason,70018,256,-1.2185,3.8068,351,-0.32,0.7491
LogRegPrice,70019,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70019,256,0,,,,
FeatureDisplay,70019,256,0,,,,
FeatureOnly,70019,256,0.06526,0.3261,351,0.20,0.8415
LogSeason,70019,256,-6.4238,4.4633,351,-1.44,0.1510
LogRegPrice,70021,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70021,256,0,,,,
FeatureDisplay,70021,256,0,,,,
FeatureOnly,70021,256,-0.3074,0.2678,351,-1.15,0.2517
LogSeason,70021,256,3.4015,4.5677,351,0.74,0.4570
LogRegPrice,70032,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70032,256,0,,,,
FeatureDisplay,70032,256,0,,,,
FeatureOnly,70032,256,-0.6018,0.2899,351,-2.08,0.0386
LogSeason,70032,256,-5.8417,4.6702,351,-1.25,0.2118
LogRegPrice,70034,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70034,256,0,,,,
FeatureDisplay,70034,256,0,,,,
FeatureOnly,70034,256,-0.1504,0.3311,351,-0.45,0.6499
LogSeason,70034,256,-1.3618,5.9140,351,-0.23,0.8180
LogRegPrice,70036,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70036,256,0,,,,
FeatureDisplay,70036,256,0,,,,
FeatureOnly,70036,256,-0.3007,0.2678,351,-1.12,0.2622
LogSeason,70036,256,-3.3258,4.6550,351,-0.71,0.4754
LogRegPrice,70060,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70060,256,0,,,,
FeatureDisplay,70060,256,0,,,,
FeatureOnly,70060,256,0.1148,0.2587,351,0.44,0.6576
LogSeason,70060,256,-2.4332,5.2275,351,-0.47,0.6419
LogRegPrice,70068,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70068,256,0,,,,
FeatureDisplay,70068,256,0,,,,
FeatureOnly,70068,256,0.5824,0.2617,351,2.23,0.0267
LogSeason,70068,256,-3.1685,5.2684,351,-0.60,0.5479
LogRegPrice,70069,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70069,256,0,,,,
FeatureDisplay,70069,256,0,,,,
FeatureOnly,70069,256,0.09437,0.2804,351,0.34,0.7367
LogSeason,70069,256,0.02719,5.6821,351,0.00,0.9962
LogRegPrice,70081,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70081,256,0,,,,
FeatureDisplay,70081,256,0,,,,
FeatureOnly,70081,256,0.3994,0.2724,351,1.47,0.1434
LogSeason,70081,256,2.3399,4.8074,351,0.49,0.6268
LogRegPrice,70097,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70097,256,0,,,,
FeatureDisplay,70097,256,0,,,,
FeatureOnly,70097,256,0.3511,0.2594,351,1.35,0.1767
LogSeason,70097,256,3.8275,4.4971,351,0.85,0.3953
LogRegPrice,70107,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70107,256,0,,,,
FeatureDisplay,70107,256,0,,,,
FeatureOnly,70107,256,-0.6707,0.2755,351,-2.43,0.0154
LogSeason,70107,256,1.7207,5.8007,351,0.30,0.7669
LogRegPrice,70111,256,0,10.3987,351,0.00,1.0000
LogPriceIndex,70111,256,0,,,,
FeatureDisplay,70111,256,0,,,,
