Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
LogRegPrice,49307,247,0,,,,
LogPriceIndex,49307,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,49307,247,0,,,,
FeatureDisplay,49307,247,0,,,,
FeatureOnly,49307,247,0,,,,
LogSeason,49307,247,0,,,,
LogRegPrice,49318,247,0,,,,
LogPriceIndex,49318,247,0.3515,1.1811,4431,0.30,0.7660
DisplayOnly,49318,247,0,,,,
FeatureDisplay,49318,247,0,,,,
FeatureOnly,49318,247,0,,,,
LogSeason,49318,247,0,,,,
LogRegPrice,49324,247,0,,,,
LogPriceIndex,49324,247,0.5003,1.1600,4431,0.43,0.6663
DisplayOnly,49324,247,0,,,,
FeatureDisplay,49324,247,0,,,,
FeatureOnly,49324,247,0,,,,
LogSeason,49324,247,0,,,,
LogRegPrice,49358,247,0,,,,
LogPriceIndex,49358,247,0.6737,1.1600,4431,0.58,0.5614
DisplayOnly,49358,247,0,,,,
FeatureDisplay,49358,247,0,,,,
FeatureOnly,49358,247,0,,,,
LogSeason,49358,247,0,,,,
LogRegPrice,49364,247,0,,,,
LogPriceIndex,49364,247,-0.4984,1.1605,4431,-0.43,0.6676
DisplayOnly,49364,247,0,,,,
FeatureDisplay,49364,247,0,,,,
FeatureOnly,49364,247,0,,,,
LogSeason,49364,247,0,,,,
LogRegPrice,49365,247,0,,,,
LogPriceIndex,49365,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,49365,247,0,,,,
FeatureDisplay,49365,247,0,,,,
FeatureOnly,49365,247,0,,,,
LogSeason,49365,247,0,,,,
LogRegPrice,49383,247,0,,,,
LogPriceIndex,49383,247,0.2312,1.1815,4431,0.20,0.8449
DisplayOnly,49383,247,0,,,,
FeatureDisplay,49383,247,0,,,,
FeatureOnly,49383,247,0,,,,
LogSeason,49383,247,0,,,,
LogRegPrice,49385,247,0,,,,
LogPriceIndex,49385,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,49385,247,0,,,,
FeatureDisplay,49385,247,0,,,,
FeatureOnly,49385,247,0,,,,
LogSeason,49385,247,0,,,,
LogRegPrice,49388,247,0,,,,
LogPriceIndex,49388,247,-0.2341,1.1810,4431,-0.20,0.8429
