Effect,store,PPGID,Estimate,StdErrPred,DF,tValue,Probt
DisplayOnly,49388,247,0,,,,
FeatureDisplay,49388,247,0,,,,
FeatureOnly,49388,247,0,,,,
LogSeason,49388,247,0,,,,
LogRegPrice,49394,247,0,,,,
LogPriceIndex,49394,247,1.4775,0.7748,4431,1.91,0.0566
DisplayOnly,49394,247,0,,,,
FeatureDisplay,49394,247,0,,,,
FeatureOnly,49394,247,0,,,,
LogSeason,49394,247,0,,,,
LogRegPrice,49416,247,0,,,,
LogPriceIndex,49416,247,0.3865,1.1607,4431,0.33,0.7392
DisplayOnly,49416,247,0,,,,
FeatureDisplay,49416,247,0,,,,
FeatureOnly,49416,247,0,,,,
LogSeason,49416,247,0,,,,
LogRegPrice,49417,247,0,,,,
LogPriceIndex,49417,247,0.1256,1.1602,4431,0.11,0.9138
DisplayOnly,49417,247,0,,,,
FeatureDisplay,49417,247,0,,,,
FeatureOnly,49417,247,0,,,,
LogSeason,49417,247,0,,,,
LogRegPrice,49420,247,0,,,,
LogPriceIndex,49420,247,-0.3653,1.1603,4431,-0.31,0.7529
DisplayOnly,49420,247,0,,,,
FeatureDisplay,49420,247,0,,,,
FeatureOnly,49420,247,0,,,,
LogSeason,49420,247,0,,,,
LogRegPrice,49440,247,0,,,,
LogPriceIndex,49440,247,0.3726,1.1603,4431,0.32,0.7481
DisplayOnly,49440,247,0,,,,
FeatureDisplay,49440,247,0,,,,
FeatureOnly,49440,247,0,,,,
LogSeason,49440,247,0,,,,
LogRegPrice,49444,247,0,,,,
LogPriceIndex,49444,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,49444,247,0,,,,
FeatureDisplay,49444,247,0,,,,
FeatureOnly,49444,247,0,,,,
LogSeason,49444,247,0,,,,
LogRegPrice,49452,247,0,,,,
LogPriceIndex,49452,247,-0.02580,1.1613,4431,-0.02,0.9823
DisplayOnly,49452,247,0,,,,
FeatureDisplay,49452,247,0,,,,
FeatureOnly,49452,247,0,,,,
LogSeason,49452,247,0,,,,
LogRegPrice,49461,247,0,,,,
LogPriceIndex,49461,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,49461,247,0,,,,
FeatureDisplay,49461,247,0,,,,
FeatureOnly,49461,247,0,,,,
LogSeason,49461,247,0,,,,
LogRegPrice,49464,247,0,,,,
LogPriceIndex,49464,247,0.7341,1.1602,4431,0.63,0.5269
DisplayOnly,49464,247,0,,,,
FeatureDisplay,49464,247,0,,,,
FeatureOnly,49464,247,0,,,,
LogSeason,49464,247,0,,,,
LogRegPrice,49474,247,0,,,,
LogPriceIndex,49474,247,0.09858,1.1601,4431,0.08,0.9323
DisplayOnly,49474,247,0,,,,
FeatureDisplay,49474,247,0,,,,
FeatureOnly,49474,247,0,,,,
LogSeason,49474,247,0,,,,
LogRegPrice,49487,247,0,,,,
LogPriceIndex,49487,247,-0.09021,1.1811,4431,-0.08,0.9391
DisplayOnly,49487,247,0,,,,
FeatureDisplay,49487,247,0,,,,
FeatureOnly,49487,247,0,,,,
LogSeason,49487,247,0,,,,
LogRegPrice,49495,247,0,,,,
LogPriceIndex,49495,247,0.2194,1.1813,4431,0.19,0.8527
DisplayOnly,49495,247,0,,,,
FeatureDisplay,49495,247,0,,,,
FeatureOnly,49495,247,0,,,,
LogSeason,49495,247,0,,,,
LogRegPrice,57604,247,0,,,,
LogPriceIndex,57604,247,-0.09355,1.1617,4431,-0.08,0.9358
DisplayOnly,57604,247,0,,,,
FeatureDisplay,57604,247,0,,,,
FeatureOnly,57604,247,0,,,,
LogSeason,57604,247,0,,,,
LogRegPrice,57608,247,0,,,,
LogPriceIndex,57608,247,0.1931,1.1813,4431,0.16,0.8702
DisplayOnly,57608,247,0,,,,
FeatureDisplay,57608,247,0,,,,
FeatureOnly,57608,247,0,,,,
LogSeason,57608,247,0,,,,
LogRegPrice,57617,247,0,,,,
LogPriceIndex,57617,247,-0.03384,1.1610,4431,-0.03,0.9767
DisplayOnly,57617,247,0,,,,
FeatureDisplay,57617,247,0,,,,
FeatureOnly,57617,247,0,,,,
LogSeason,57617,247,0,,,,
LogRegPrice,57653,247,0,,,,
LogPriceIndex,57653,247,-0.00845,1.1605,4431,-0.01,0.9942
DisplayOnly,57653,247,0,,,,
FeatureDisplay,57653,247,0,,,,
FeatureOnly,57653,247,0,,,,
LogSeason,57653,247,0,,,,
LogRegPrice,57680,247,0,,,,
LogPriceIndex,57680,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,57680,247,0,,,,
FeatureDisplay,57680,247,0,,,,
FeatureOnly,57680,247,0,,,,
LogSeason,57680,247,0,,,,
LogRegPrice,57684,247,0,,,,
LogPriceIndex,57684,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,57684,247,0,,,,
FeatureDisplay,57684,247,0,,,,
FeatureOnly,57684,247,0,,,,
LogSeason,57684,247,0,,,,
LogRegPrice,70001,247,0,,,,
LogPriceIndex,70001,247,-0.7055,0.9041,4431,-0.78,0.4352
DisplayOnly,70001,247,0,,,,
FeatureDisplay,70001,247,0,,,,
FeatureOnly,70001,247,0,,,,
LogSeason,70001,247,0,,,,
LogRegPrice,70004,247,0,,,,
LogPriceIndex,70004,247,-0.2346,0.6225,4431,-0.38,0.7063
DisplayOnly,70004,247,0,,,,
FeatureDisplay,70004,247,0,,,,
FeatureOnly,70004,247,0,,,,
LogSeason,70004,247,0,,,,
LogRegPrice,70013,247,0,,,,
LogPriceIndex,70013,247,0.09997,0.4860,4431,0.21,0.8370
DisplayOnly,70013,247,0,,,,
FeatureDisplay,70013,247,0,,,,
FeatureOnly,70013,247,0,,,,
LogSeason,70013,247,0,,,,
LogRegPrice,70021,247,0,,,,
LogPriceIndex,70021,247,-1.2887,0.7488,4431,-1.72,0.0853
DisplayOnly,70021,247,0,,,,
FeatureDisplay,70021,247,0,,,,
FeatureOnly,70021,247,0,,,,
LogSeason,70021,247,0,,,,
LogRegPrice,70032,247,0,,,,
LogPriceIndex,70032,247,-0.2401,0.6061,4431,-0.40,0.6920
DisplayOnly,70032,247,0,,,,
FeatureDisplay,70032,247,0,,,,
FeatureOnly,70032,247,0,,,,
LogSeason,70032,247,0,,,,
LogRegPrice,70034,247,0,,,,
LogPriceIndex,70034,247,0.07644,0.9392,4431,0.08,0.9351
DisplayOnly,70034,247,0,,,,
FeatureDisplay,70034,247,0,,,,
FeatureOnly,70034,247,0,,,,
LogSeason,70034,247,0,,,,
LogRegPrice,70036,247,0,,,,
LogPriceIndex,70036,247,0.06284,0.6093,4431,0.10,0.9178
DisplayOnly,70036,247,0,,,,
FeatureDisplay,70036,247,0,,,,
FeatureOnly,70036,247,0,,,,
LogSeason,70036,247,0,,,,
LogRegPrice,70060,247,0,,,,
LogPriceIndex,70060,247,-1.3549,0.6910,4431,-1.96,0.0500
DisplayOnly,70060,247,0,,,,
FeatureDisplay,70060,247,0,,,,
FeatureOnly,70060,247,0,,,,
LogSeason,70060,247,0,,,,
LogRegPrice,70068,247,0,,,,
LogPriceIndex,70068,247,-2.0173,0.7576,4431,-2.66,0.0078
DisplayOnly,70068,247,0,,,,
FeatureDisplay,70068,247,0,,,,
FeatureOnly,70068,247,0,,,,
LogSeason,70068,247,0,,,,
LogRegPrice,70069,247,0,,,,
LogPriceIndex,70069,247,1.4023,0.8562,4431,1.64,0.1015
DisplayOnly,70069,247,0,,,,
FeatureDisplay,70069,247,0,,,,
FeatureOnly,70069,247,0,,,,
LogSeason,70069,247,0,,,,
LogRegPrice,70081,247,0,,,,
LogPriceIndex,70081,247,-0.09360,0.7203,4431,-0.13,0.8966
DisplayOnly,70081,247,0,,,,
FeatureDisplay,70081,247,0,,,,
FeatureOnly,70081,247,0,,,,
LogSeason,70081,247,0,,,,
LogRegPrice,70107,247,0,,,,
LogPriceIndex,70107,247,-0.6907,0.6949,4431,-0.99,0.3203
DisplayOnly,70107,247,0,,,,
FeatureDisplay,70107,247,0,,,,
FeatureOnly,70107,247,0,,,,
LogSeason,70107,247,0,,,,
LogRegPrice,70111,247,0,,,,
LogPriceIndex,70111,247,-1.3347,0.7150,4431,-1.87,0.0620
DisplayOnly,70111,247,0,,,,
FeatureDisplay,70111,247,0,,,,
FeatureOnly,70111,247,0,,,,
LogSeason,70111,247,0,,,,
LogRegPrice,70113,247,0,,,,
LogPriceIndex,70113,247,-0.4953,0.6579,4431,-0.75,0.4516
DisplayOnly,70113,247,0,,,,
FeatureDisplay,70113,247,0,,,,
FeatureOnly,70113,247,0,,,,
LogSeason,70113,247,0,,,,
LogRegPrice,70116,247,0,,,,
LogPriceIndex,70116,247,-1.2902,0.6933,4431,-1.86,0.0628
DisplayOnly,70116,247,0,,,,
FeatureDisplay,70116,247,0,,,,
FeatureOnly,70116,247,0,,,,
LogSeason,70116,247,0,,,,
LogRegPrice,70121,247,0,,,,
LogPriceIndex,70121,247,-1.2858,0.7444,4431,-1.73,0.0842
DisplayOnly,70121,247,0,,,,
FeatureDisplay,70121,247,0,,,,
FeatureOnly,70121,247,0,,,,
LogSeason,70121,247,0,,,,
LogRegPrice,70129,247,0,,,,
LogPriceIndex,70129,247,-0.5414,0.8736,4431,-0.62,0.5355
DisplayOnly,70129,247,0,,,,
FeatureDisplay,70129,247,0,,,,
FeatureOnly,70129,247,0,,,,
LogSeason,70129,247,0,,,,
LogRegPrice,70150,247,0,,,,
LogPriceIndex,70150,247,-0.2767,0.6291,4431,-0.44,0.6602
DisplayOnly,70150,247,0,,,,
FeatureDisplay,70150,247,0,,,,
FeatureOnly,70150,247,0,,,,
LogSeason,70150,247,0,,,,
LogRegPrice,70180,247,0,,,,
LogPriceIndex,70180,247,1.4333,0.5444,4431,2.63,0.0085
DisplayOnly,70180,247,0,,,,
FeatureDisplay,70180,247,0,,,,
FeatureOnly,70180,247,0,,,,
LogSeason,70180,247,0,,,,
LogRegPrice,77105,247,0,,,,
LogPriceIndex,77105,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,77105,247,0,,,,
FeatureDisplay,77105,247,0,,,,
FeatureOnly,77105,247,0,,,,
LogSeason,77105,247,0,,,,
LogRegPrice,77109,247,0,,,,
LogPriceIndex,77109,247,0.2799,1.1811,4431,0.24,0.8127
DisplayOnly,77109,247,0,,,,
FeatureDisplay,77109,247,0,,,,
FeatureOnly,77109,247,0,,,,
LogSeason,77109,247,0,,,,
LogRegPrice,77173,247,0,,,,
LogPriceIndex,77173,247,0.3125,1.1813,4431,0.26,0.7914
DisplayOnly,77173,247,0,,,,
FeatureDisplay,77173,247,0,,,,
FeatureOnly,77173,247,0,,,,
LogSeason,77173,247,0,,,,
LogRegPrice,77175,247,0,,,,
LogPriceIndex,77175,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,77175,247,0,,,,
FeatureDisplay,77175,247,0,,,,
FeatureOnly,77175,247,0,,,,
LogSeason,77175,247,0,,,,
LogRegPrice,81802,247,0,,,,
LogPriceIndex,81802,247,0.3851,0.5297,4431,0.73,0.4672
DisplayOnly,81802,247,0,,,,
FeatureDisplay,81802,247,0,,,,
FeatureOnly,81802,247,0,,,,
LogSeason,81802,247,0,,,,
LogRegPrice,81804,247,0,,,,
LogPriceIndex,81804,247,-0.6578,0.6399,4431,-1.03,0.3040
DisplayOnly,81804,247,0,,,,
FeatureDisplay,81804,247,0,,,,
FeatureOnly,81804,247,0,,,,
LogSeason,81804,247,0,,,,
LogRegPrice,81850,247,0,,,,
LogPriceIndex,81850,247,0.6982,0.6371,4431,1.10,0.2731
DisplayOnly,81850,247,0,,,,
FeatureDisplay,81850,247,0,,,,
FeatureOnly,81850,247,0,,,,
LogSeason,81850,247,0,,,,
LogRegPrice,81851,247,0,,,,
LogPriceIndex,81851,247,0.4207,0.6644,4431,0.63,0.5267
DisplayOnly,81851,247,0,,,,
FeatureDisplay,81851,247,0,,,,
FeatureOnly,81851,247,0,,,,
LogSeason,81851,247,0,,,,
LogRegPrice,81887,247,0,,,,
LogPriceIndex,81887,247,-1.0074,0.6098,4431,-1.65,0.0986
DisplayOnly,81887,247,0,,,,
FeatureDisplay,81887,247,0,,,,
FeatureOnly,81887,247,0,,,,
LogSeason,81887,247,0,,,,
LogRegPrice,81894,247,0,,,,
LogPriceIndex,81894,247,0,1.2040,4431,0.00,1.0000
DisplayOnly,81894,247,0,,,,
FeatureDisplay,81894,247,0,,,,
FeatureOnly,81894,247,0,,,,
LogSeason,81894,247,0,,,,
LogRegPrice,82211,247,0,,,,
LogPriceIndex,82211,247,0.5637,0.7105,4431,0.79,0.4276
DisplayOnly,82211,247,0,,,,
FeatureDisplay,82211,247,0,,,,
FeatureOnly,82211,247,0,,,,
LogSeason,82211,247,0,,,,
LogRegPrice,82214,247,0,,,,
LogPriceIndex,82214,247,1.3033,0.6821,4431,1.91,0.0561
DisplayOnly,82214,247,0,,,,
FeatureDisplay,82214,247,0,,,,
FeatureOnly,82214,247,0,,,,
LogSeason,82214,247,0,,,,
LogRegPrice,82223,247,0,,,,
LogPriceIndex,82223,247,-0.9075,0.6532,4431,-1.39,0.1648
DisplayOnly,82223,247,0,,,,
FeatureDisplay,82223,247,0,,,,
FeatureOnly,82223,247,0,,,,
LogSeason,82223,247,0,,,,
LogRegPrice,82239,247,0,,,,
LogPriceIndex,82239,247,1.1273,0.4276,4431,2.64,0.0084
DisplayOnly,82239,247,0,,,,
FeatureDisplay,82239,247,0,,,,
FeatureOnly,82239,247,0,,,,
LogSeason,82239,247,0,,,,
LogRegPrice,82245,247,0,,,,
LogPriceIndex,82245,247,-0.3769,0.5770,4431,-0.65,0.5137
DisplayOnly,82245,247,0,,,,
FeatureDisplay,82245,247,0,,,,
FeatureOnly,82245,247,0,,,,
LogSeason,82245,247,0,,,,
LogRegPrice,82246,247,0,,,,
LogPriceIndex,82246,247,1.8881,0.4046,4431,4.67,<.0001
DisplayOnly,82246,247,0,,,,
FeatureDisplay,82246,247,0,,,,
FeatureOnly,82246,247,0,,,,
LogSeason,82246,247,0,,,,
LogRegPrice,82247,247,0,,,,
LogPriceIndex,82247,247,-0.4108,0.6384,4431,-0.64,0.5200
DisplayOnly,82247,247,0,,,,
FeatureDisplay,82247,247,0,,,,
FeatureOnly,82247,247,0,,,,
LogSeason,82247,247,0,,,,
LogRegPrice,82251,247,0,,,,
LogPriceIndex,82251,247,1.1415,0.4413,4431,2.59,0.0097
DisplayOnly,82251,247,0,,,,
FeatureDisplay,82251,247,0,,,,
FeatureOnly,82251,247,0,,,,
LogSeason,82251,247,0,,,,
