,estimate,fixedEffVar,outlet,p_value,ppgid,region,stdError
0,1.1912274150058957e-10,(Intercept),GR,0.999999976212,115,US,0.003995475656633181
1,-1.3123716932278815,logregprice,GR,2.22542655579e-33,115,US,0.1090131091776302
2,-1.2371752947119607,logpriceindex,GR,9.40886408019e-58,115,US,0.07723154053502661
3,0.199036865261119,displayonly,GR,1.84751673345e-10,115,US,0.03122877391011866
4,0.4145894105625372,featuredisplay,GR,2.03053472639e-07,115,US,0.07978212134942052
5,0.3190668193785185,featureonly,GR,5.36229585724e-14,115,US,0.04241340988775986
6,0.6261720055834225,logseason,GR,2.92870968961e-18,115,US,0.07185667638737674
7,-0.013104765544073103,absprice19,GR,0.69739494506,115,US,0.03370225647718133
8,0.04335156906619779,lift19,GR,0.521349521764,115,US,0.0676030419109145
9,-0.7332712923620306,absprice220,GR,0.123536928835,115,US,0.47612047684034725
10,-0.1029846874665856,lift220,GR,5.48731671046e-07,115,US,0.020562231206675823
11,0.9527853790510522,absprice178,GR,1.74155969338e-06,115,US,0.19927284440925272
12,0.16428815295123525,lift178,GR,0.00331599970517,115,US,0.05594089318957732
13,0.5401364714172424,absprice132,GR,0.152848543901,115,US,0.37783885538301054
14,0.03023969675129544,lift132,GR,0.674205004852,115,US,0.07193352197330109
15,0.4878955729441899,absprice131,GR,0.21963158336,115,US,0.3974682296940502
16,-0.006749848215629273,lift131,GR,0.918178304017,115,US,0.06570558155217379
17,0.17451820590371045,absprice191,GR,0.355276737826,115,US,0.188790257142145
18,-0.15470660938614705,lift191,GR,0.00363673344095,115,US,0.0531991675125257
19,-0.2780672058177522,absprice95,GR,0.174473074118,115,US,0.20476676378306638
20,0.06053526475121761,lift95,GR,0.360594004222,115,US,0.06621420512548862
21,0.5479918333538817,absprice140,GR,0.013695433433,115,US,0.2222951627954039
22,0.0035745046386416977,lift140,GR,0.93557424049,115,US,0.04422049837187845
23,0.03343773791712811,absprice139,GR,0.844113866357,115,US,0.17005053635260545
24,-0.08672092544819139,lift139,GR,0.0332253150378,115,US,0.04072647803298185
25,0.08092314039337141,absprice31,GR,0.499512795316,115,US,0.11984058877104022
26,-0.10698302841954228,lift31,GR,0.672270331505,115,US,0.2528945325796235
27,-0.06299857892252306,absprice233,GR,0.709401970037,115,US,0.16905136920372843
